# edge_gate::kTolExclusion verlangt, dass das Halbieren der Ausschluss-
# distanz die integrierte Kraft um weniger als 5 % aendert.  Fuer eine
# Last p = C d^beta hat diese Groesse einen GESCHLOSSENEN GRENZWERT
# ungleich null, der die Netzweite gar nicht enthaelt.  Hier steht er
# neben der Messung, ueber vier Verfeinerungen: die Messung laeuft gegen
# den Grenzwert und bleibt stehen, waehrend der Diskretisierungsfehler
# derselben Last weiter faellt.  Damit ist das Kriterium nicht getauscht,
# sondern widerlegt.
beta,segments,measured_change,closed_form_limit,agreement,discretisation_error
-0.2500,32,8.486203741e-02,8.105029514e-02,4.702934463e-02,2.305900189e-03
-0.2500,64,8.233379019e-02,8.105029514e-02,1.583578493e-02,1.289569701e-03
-0.2500,128,8.118090638e-02,8.105029514e-02,1.611483830e-03,7.408034124e-04
-0.2500,256,8.111743596e-02,8.105029514e-02,8.283846024e-04,4.323253673e-04
-0.2500,512,8.105917954e-02,8.105029514e-02,1.096158431e-04,2.545277055e-04
-0.2500,1024,8.105456564e-02,8.105029514e-02,5.268943771e-05,1.505623649e-04
-0.4400,32,1.268692791e-01,1.122988912e-01,1.297464984e-01,6.084907021e-03
-0.4400,64,1.157430041e-01,1.122988912e-01,3.066916185e-02,3.871323268e-03
-0.4400,128,1.126794036e-01,1.122988912e-01,3.388389914e-03,2.536361360e-03
-0.4400,256,1.124750474e-01,1.122988912e-01,1.568637054e-03,1.689364454e-03
-0.4400,512,1.123247560e-01,1.122988912e-01,2.303210465e-04,1.135197582e-03
-0.4400,1024,1.123101035e-01,1.122988912e-01,9.984315250e-05,7.663349711e-04
-0.7500,32,2.659217461e-01,1.792862734e-01,4.832242370e-01,4.553703102e-02
-0.7500,64,1.898433278e-01,1.792862734e-01,5.888378505e-02,3.706651781e-02
-0.7500,128,1.805099642e-01,1.792862734e-01,6.825345441e-03,3.065131938e-02
-0.7500,256,1.798085222e-01,1.792862734e-01,2.912932444e-03,2.555624347e-02
-0.7500,512,1.793698262e-01,1.792862734e-01,4.660296307e-04,2.139819230e-02
-0.7500,1024,1.793195527e-01,1.792862734e-01,1.856209154e-04,1.795495825e-02
-0.9000,32,4.077308449e-01,2.182626648e-01,8.680741629e-01,2.696027680e-01
-0.9000,64,2.342733408e-01,2.182626648e-01,7.335508332e-02,2.497545183e-01
-0.9000,128,2.201343491e-01,2.182626648e-01,8.575375223e-03,2.321910632e-01
-0.9000,256,2.190435202e-01,2.182626648e-01,3.577594759e-03,2.162505841e-01
-0.9000,512,2.183909132e-01,2.182626648e-01,5.875873437e-04,2.015862810e-01
-0.9000,1024,2.183124586e-01,2.182626648e-01,2.281367871e-04,1.880014216e-01
