# Der Haushalt, an den P3a-Kapillarloeser uebergeben.  KEINE neue
# Physik: es ist derselbe Loeser, nur mit einem delta_p_exit, das aus
# dem Haushalt kommt statt aus der Hand.  Ein Punkt ausserhalb
# |delta_p| <= 2 gamma/a hat keine gepinnte statische Form und steht
# als nan mit seinem Status.
p_reservoir_Pa,Q_m3_per_s,feed_status,delta_p_exit_Pa,Pi,capillary_status,h_over_a,apex_curvature_1_per_m
-2.260000000e+04,1.000000000e-13,Ok,-2.713476996e+04,-3.001633845e+00,PressureOutsideCapillaryRange,nan,nan
-2.147000000e+04,1.000000000e-13,Ok,-2.600476996e+04,-2.876633845e+00,PressureOutsideCapillaryRange,nan,nan
-2.034000000e+04,1.000000000e-13,Ok,-2.487476996e+04,-2.751633845e+00,PressureOutsideCapillaryRange,nan,nan
-1.921000000e+04,1.000000000e-13,Ok,-2.374476996e+04,-2.626633845e+00,PressureOutsideCapillaryRange,nan,nan
-1.808000000e+04,1.000000000e-13,Ok,-2.261476996e+04,-2.501633845e+00,PressureOutsideCapillaryRange,nan,nan
-1.695000000e+04,1.000000000e-13,Ok,-2.148476996e+04,-2.376633845e+00,PressureOutsideCapillaryRange,nan,nan
-1.582000000e+04,1.000000000e-13,Ok,-2.035476996e+04,-2.251633845e+00,PressureOutsideCapillaryRange,nan,nan
-1.469000000e+04,1.000000000e-13,Ok,-1.922476996e+04,-2.126633845e+00,PressureOutsideCapillaryRange,nan,nan
-1.356000000e+04,1.000000000e-13,Ok,-1.809476996e+04,-2.001633845e+00,PressureOutsideCapillaryRange,nan,nan
-1.243000000e+04,1.000000000e-13,Ok,-1.696476996e+04,-1.876633845e+00,Solved,-6.972308986e-01,-7.506535382e+05
-1.130000000e+04,1.000000000e-13,Ok,-1.583476996e+04,-1.751633845e+00,Solved,-5.907131021e-01,-7.006535382e+05
-1.017000000e+04,1.000000000e-13,Ok,-1.470476996e+04,-1.626633845e+00,Solved,-5.141649806e-01,-6.506535382e+05
-9.040000000e+03,1.000000000e-13,Ok,-1.357476996e+04,-1.501633845e+00,Solved,-4.521603336e-01,-6.006535382e+05
-7.910000000e+03,1.000000000e-13,Ok,-1.244476996e+04,-1.376633845e+00,Solved,-3.989294618e-01,-5.506535382e+05
-6.780000000e+03,1.000000000e-13,Ok,-1.131476996e+04,-1.251633845e+00,Solved,-3.515884692e-01,-5.006535382e+05
-5.650000000e+03,1.000000000e-13,Ok,-1.018476996e+04,-1.126633845e+00,Solved,-3.084570710e-01,-4.506535382e+05
-4.520000000e+03,1.000000000e-13,Ok,-9.054769963e+03,-1.001633845e+00,Solved,-2.684549077e-01,-4.006535382e+05
-3.390000000e+03,1.000000000e-13,Ok,-7.924769963e+03,-8.766338454e-01,Solved,-2.308364191e-01,-3.506535382e+05
-2.260000000e+03,1.000000000e-13,Ok,-6.794769963e+03,-7.516338454e-01,Solved,-1.950579263e-01,-3.006535382e+05
-1.130000000e+03,1.000000000e-13,Ok,-5.664769963e+03,-6.266338454e-01,Solved,-1.607043029e-01,-2.506535382e+05
0.000000000e+00,1.000000000e-13,Ok,-4.534769963e+03,-5.016338454e-01,Solved,-1.274453865e-01,-2.006535382e+05
1.130000000e+03,1.000000000e-13,Ok,-3.404769963e+03,-3.766338454e-01,Solved,-9.500839160e-02,-1.506535382e+05
2.260000000e+03,1.000000000e-13,Ok,-2.274769963e+03,-2.516338454e-01,Solved,-6.315941019e-02,-1.006535382e+05
3.390000000e+03,1.000000000e-13,Ok,-1.144769963e+03,-1.266338454e-01,Solved,-3.169025507e-02,-5.065353816e+04
4.520000000e+03,1.000000000e-13,Ok,-1.476996253e+01,-1.633845412e-03,Solved,-4.084614213e-04,-6.535381650e+02
5.650000000e+03,1.000000000e-13,Ok,1.115230037e+03,1.233661546e-01,Solved,3.087093108e-02,4.934646184e+04
6.780000000e+03,1.000000000e-13,Ok,2.245230037e+03,2.483661546e-01,Solved,6.233278765e-02,9.934646184e+04
7.910000000e+03,1.000000000e-13,Ok,3.375230037e+03,3.733661546e-01,Solved,9.416927768e-02,1.493464618e+05
9.040000000e+03,1.000000000e-13,Ok,4.505230037e+03,4.983661546e-01,Solved,1.265880604e-01,1.993464618e+05
1.017000000e+04,1.000000000e-13,Ok,5.635230037e+03,6.233661546e-01,Solved,1.598222213e-01,2.493464618e+05
1.130000000e+04,1.000000000e-13,Ok,6.765230037e+03,7.483661546e-01,Solved,1.941433237e-01,2.993464618e+05
1.243000000e+04,1.000000000e-13,Ok,7.895230037e+03,8.733661546e-01,Solved,2.298797296e-01,3.493464618e+05
1.356000000e+04,1.000000000e-13,Ok,9.025230037e+03,9.983661546e-01,Solved,2.674438802e-01,3.993464618e+05
1.469000000e+04,1.000000000e-13,Ok,1.015523004e+04,1.123366155e+00,Solved,3.073753337e-01,4.493464618e+05
1.582000000e+04,1.000000000e-13,Ok,1.128523004e+04,1.248366155e+00,Solved,3.504130397e-01,4.993464618e+05
1.695000000e+04,1.000000000e-13,Ok,1.241523004e+04,1.373366155e+00,Solved,3.976260627e-01,5.493464618e+05
1.808000000e+04,1.000000000e-13,Ok,1.354523004e+04,1.498366155e+00,Solved,4.506735812e-01,5.993464618e+05
1.921000000e+04,1.000000000e-13,Ok,1.467523004e+04,1.623366155e+00,Solved,5.123944540e-01,6.493464618e+05
2.034000000e+04,1.000000000e-13,Ok,1.580523004e+04,1.748366155e+00,Solved,5.884391121e-01,6.993464618e+05
2.147000000e+04,1.000000000e-13,Ok,1.693523004e+04,1.873366155e+00,Solved,6.937477118e-01,7.493464618e+05
2.260000000e+04,1.000000000e-13,Ok,1.806523004e+04,1.998366155e+00,Solved,9.603719520e-01,7.993464618e+05
