# potential and axial field on r = 0, from the flat liquid surface to the
# top of the plotted region.  Inside the liquid column V = V_emitter.
z_m,V_V,Ez_V_per_m
-4.000000000e-04,1.298024306e+03,-1.644651338e+07
-3.978888889e-04,1.331181986e+03,-1.491888501e+07
-3.957777778e-04,1.360861229e+03,-1.317310304e+07
-3.936666667e-04,1.386743385e+03,-1.134395921e+07
-3.915555556e-04,1.408786976e+03,-9.554984263e+06
-3.894444444e-04,1.427181038e+03,-7.898847433e+06
-3.873333333e-04,1.442270843e+03,-6.430828887e+06
-3.852222222e-04,1.454481754e+03,-5.172778098e+06
-3.831111111e-04,1.464257788e+03,-4.122182547e+06
-3.810000000e-04,1.472020525e+03,-3.261786563e+06
-3.788888889e-04,1.478146588e+03,-2.567337492e+06
-3.767777778e-04,1.482958834e+03,-2.012824608e+06
-3.746666667e-04,1.486726193e+03,-1.573529764e+06
-3.725555556e-04,1.489668186e+03,-1.227510210e+06
-3.704444444e-04,1.491961439e+03,-9.560989017e+05
-3.683333333e-04,1.493746616e+03,-7.438560455e+05
-3.662222222e-04,1.495134925e+03,-5.782498234e+05
-3.641111111e-04,1.496213817e+03,-4.492349349e+05
-3.620000000e-04,1.497051790e+03,-3.488329188e+05
-3.598888889e-04,1.497702350e+03,-2.707625576e+05
-3.577777778e-04,1.498207245e+03,-2.101148501e+05
-3.556666667e-04,1.498599042e+03,-1.630520831e+05
-3.535555556e-04,1.498903101e+03,-1.265447040e+05
-3.514444444e-04,1.499139066e+03,-9.818807891e+04
-3.493333333e-04,1.499322080e+03,-7.611122639e+04
-3.472222222e-04,1.499463857e+03,-5.892571517e+04
-3.451111111e-04,1.499573615e+03,-4.563887739e+04
-3.430000000e-04,1.499658771e+03,-3.550491178e+04
-3.408888889e-04,1.499725281e+03,-2.786625017e+04
-3.387777778e-04,1.499777725e+03,-2.207111054e+04
-3.366666667e-04,1.499819334e+03,-1.750939714e+04
-3.345555556e-04,1.499852195e+03,-1.372643556e+04
-3.324444444e-04,1.499877690e+03,-1.052053105e+04
