r,z,V,Er,Ez,Emag
0.000000000e+00,-4.000000000e-04,nan,nan,nan,nan
1.250000000e-05,-4.000000000e-04,nan,nan,nan,nan
2.500000000e-05,-4.000000000e-04,1.221325864e+03,2.987295502e+07,-1.965604745e+07,3.575966503e+07
3.750000000e-05,-4.000000000e-04,9.758469643e+02,1.371058648e+07,-8.348814279e+06,1.605250390e+07
5.000000000e-05,-4.000000000e-04,8.390021000e+02,8.849858988e+06,-5.367957442e+06,1.035060246e+07
6.250000000e-05,-4.000000000e-04,7.448526369e+02,6.447916404e+06,-3.909786889e+06,7.540693567e+06
7.500000000e-05,-4.000000000e-04,6.738366360e+02,5.023353508e+06,-3.035134020e+06,5.869081614e+06
8.750000000e-05,-4.000000000e-04,6.172728693e+02,4.085789071e+06,-2.450342283e+06,4.764226027e+06
1.000000000e-04,-4.000000000e-04,5.705531315e+02,3.424693542e+06,-2.031560959e+06,3.981929907e+06
1.125000000e-04,-4.000000000e-04,5.309479090e+02,2.934878448e+06,-1.717025181e+06,3.400248076e+06
1.250000000e-04,-4.000000000e-04,4.967131865e+02,2.558118671e+06,-1.472358388e+06,2.951577605e+06
1.375000000e-04,-4.000000000e-04,4.666702923e+02,2.259682247e+06,-1.276866325e+06,2.595486750e+06
1.500000000e-04,-4.000000000e-04,4.399872003e+02,2.017627837e+06,-1.117330271e+06,2.306349719e+06
1.625000000e-04,-4.000000000e-04,4.160557324e+02,1.817447946e+06,-9.849033402e+05,2.067160280e+06
1.750000000e-04,-4.000000000e-04,3.944184004e+02,1.649186843e+06,-8.734363522e+05,1.866201572e+06
1.875000000e-04,-4.000000000e-04,3.747226911e+02,1.505797389e+06,-7.785189479e+05,1.695145283e+06
2.000000000e-04,-4.000000000e-04,3.566913510e+02,1.382158446e+06,-6.969028737e+05,1.547913300e+06
2.125000000e-04,-4.000000000e-04,3.401024229e+02,1.274463369e+06,-6.261407309e+05,1.419967990e+06
2.250000000e-04,-4.000000000e-04,3.247754489e+02,1.179826260e+06,-5.643517732e+05,1.307854322e+06
2.375000000e-04,-4.000000000e-04,3.105617002e+02,1.096020913e+06,-5.100655184e+05,1.208895643e+06
2.500000000e-04,-4.000000000e-04,2.973371099e+02,1.021303252e+06,-4.621146030e+05,1.120986279e+06
2.625000000e-04,-4.000000000e-04,2.849970635e+02,9.542878284e+05,-4.195596951e+05,1.042446928e+06
2.750000000e-04,-4.000000000e-04,2.734524937e+02,8.938601976e+05,-3.816358053e+05,9.719217771e+05
2.875000000e-04,-4.000000000e-04,2.626269096e+02,8.391136355e+05,-3.477131992e+05,9.083040032e+05
3.000000000e-04,-4.000000000e-04,2.524541051e+02,7.893027073e+05,-3.172684725e+05,8.506809316e+05
3.125000000e-04,-4.000000000e-04,2.428763686e+02,7.438087038e+05,-2.898628253e+05,7.982930823e+05
3.250000000e-04,-4.000000000e-04,2.338430700e+02,7.021135742e+05,-2.651255197e+05,7.505031727e+05
3.375000000e-04,-4.000000000e-04,2.253095317e+02,6.637800298e+05,-2.427411258e+05,7.067723694e+05
3.500000000e-04,-4.000000000e-04,2.172361195e+02,6.284361883e+05,-2.224395723e+05,6.666418875e+05
3.625000000e-04,-4.000000000e-04,2.095875029e+02,5.957636023e+05,-2.039883014e+05,6.297185855e+05
3.750000000e-04,-4.000000000e-04,2.023320478e+02,5.654878353e+05,-1.871860210e+05,5.956635781e+05
3.875000000e-04,-4.000000000e-04,1.954413157e+02,5.373709777e+05,-1.718576811e+05,5.641831531e+05
4.000000000e-04,-4.000000000e-04,1.888896455e+02,5.112056538e+05,-1.578504015e+05,5.350214666e+05
4.125000000e-04,-4.000000000e-04,1.826538030e+02,4.868101837e+05,-1.450301410e+05,5.079546208e+05
4.250000000e-04,-4.000000000e-04,1.767126854e+02,4.640246490e+05,-1.332789555e+05,4.827858271e+05
4.375000000e-04,-4.000000000e-04,1.710470700e+02,4.427076714e+05,-1.224927228e+05,4.593414302e+05
4.500000000e-04,-4.000000000e-04,1.656393994e+02,4.227337558e+05,-1.125792437e+05,4.374676153e+05
4.625000000e-04,-4.000000000e-04,1.604735975e+02,4.039910863e+05,-1.034566472e+05,4.170276678e+05
4.750000000e-04,-4.000000000e-04,1.555349101e+02,3.863796863e+05,-9.505204347e+04,3.978996770e+05
4.875000000e-04,-4.000000000e-04,1.508097667e+02,3.698098731e+05,-8.730038069e+04,3.799746027e+05
5.000000000e-04,-4.000000000e-04,1.462856606e+02,3.542009544e+05,-8.014346962e+04,3.631546390e+05
5.125000000e-04,-4.000000000e-04,1.419510434e+02,3.394801205e+05,-7.352914822e+04,3.473518214e+05
5.250000000e-04,-4.000000000e-04,1.377952326e+02,3.255815008e+05,-6.741056288e+04,3.324868383e+05
5.375000000e-04,-4.000000000e-04,1.338083297e+02,3.124453548e+05,-6.174554779e+04,3.184880099e+05
5.500000000e-04,-4.000000000e-04,1.299811487e+02,3.000173755e+05,-5.649608712e+04,3.052904084e+05
5.625000000e-04,-4.000000000e-04,1.263051514e+02,2.882480875e+05,-5.162784739e+04,2.928350979e+05
5.750000000e-04,-4.000000000e-04,1.227723907e+02,2.770923247e+05,-4.710976976e+04,2.810684735e+05
5.875000000e-04,-4.000000000e-04,1.193754595e+02,2.665087753e+05,-4.291371334e+04,2.699416865e+05
6.000000000e-04,-4.000000000e-04,1.161074452e+02,2.564595834e+05,-3.901414255e+04,2.594101409e+05
6.125000000e-04,-4.000000000e-04,1.129618886e+02,2.469100001e+05,-3.538785217e+04,2.494330536e+05
6.250000000e-04,-4.000000000e-04,1.099327470e+02,2.378280762e+05,-3.201372517e+04,2.399730660e+05
6.375000000e-04,-4.000000000e-04,1.070143610e+02,2.291843905e+05,-2.887251876e+04,2.309959029e+05
6.500000000e-04,-4.000000000e-04,1.042014246e+02,2.209518098e+05,-2.594667517e+04,2.224700704e+05
6.625000000e-04,-4.000000000e-04,1.014889575e+02,2.131052756e+05,-2.322015380e+04,2.143665880e+05
6.750000000e-04,-4.000000000e-04,9.887228096e+01,2.056216137e+05,-2.067828214e+04,2.066587511e+05
6.875000000e-04,-4.000000000e-04,9.634699483e+01,1.984793652e+05,-1.830762312e+04,1.993219192e+05
