# surface charge density and normal field on the reference mesh level
# sigma/eps0 is the vacuum-side normal field; the emitter arc is open only
# at the truncation plane, and the cavity behind it is screened to 3.91e-02 V
i,r_m,z_m,arclen_m,sigma_C_per_m2,En_V_per_m,area_m2,tag,boundary_id,in_edge_zone
0,4.978094846e-06,0.000000000e+00,4.381030790e-08,4.829325372e-04,5.454283865e+07,1.370311620e-12,flat_liquid_surface_reference,free_surface_reference,1
1,4.928137359e-06,0.000000000e+00,9.991497354e-08,4.818665876e-04,5.442244933e+07,1.737247323e-12,flat_liquid_surface_reference,free_surface_reference,1
2,4.864175399e-06,0.000000000e+00,1.717342278e-07,4.805130081e-04,5.426957483e+07,2.194977066e-12,flat_liquid_surface_reference,free_surface_reference,1
3,4.782284450e-06,0.000000000e+00,2.636968727e-07,4.788238341e-04,5.407879799e+07,2.763291657e-12,flat_liquid_surface_reference,free_surface_reference,1
4,4.677423265e-06,0.000000000e+00,3.814565964e-07,4.767318518e-04,5.384252761e+07,3.460854313e-12,flat_liquid_surface_reference,free_surface_reference,1
5,4.543155014e-06,0.000000000e+00,5.322333751e-07,4.741662361e-04,5.355276465e+07,4.303996252e-12,flat_liquid_surface_reference,free_surface_reference,1
6,4.371234740e-06,0.000000000e+00,7.252971455e-07,4.710580821e-04,5.320172692e+07,5.302550103e-12,flat_liquid_surface_reference,free_surface_reference,1
7,4.151104791e-06,0.000000000e+00,9.724932720e-07,4.673516168e-04,5.278311536e+07,6.447409079e-12,flat_liquid_surface_reference,free_surface_reference,1
8,3.869249117e-06,0.000000000e+00,1.289008494e-06,4.630218176e-04,5.229410392e+07,7.694867777e-12,flat_liquid_surface_reference,free_surface_reference,1
9,3.508354933e-06,0.000000000e+00,1.694281639e-06,4.581010513e-04,5.173834812e+07,8.933697005e-12,flat_liquid_surface_reference,free_surface_reference,0
10,3.046258673e-06,0.000000000e+00,2.213201015e-06,4.527211037e-04,5.113073195e+07,9.932224648e-12,flat_liquid_surface_reference,free_surface_reference,0
11,2.457965927e-06,0.000000000e+00,2.870867132e-06,4.471148525e-04,5.049755686e+07,1.015690041e-11,flat_liquid_surface_reference,free_surface_reference,0
12,1.827550693e-06,0.000000000e+00,3.474031481e-06,4.425838907e-04,4.998582592e+07,6.926039515e-12,flat_liquid_surface_reference,free_surface_reference,0
13,1.290433067e-06,0.000000000e+00,3.945102385e-06,4.399316859e-04,4.968628351e+07,3.819457060e-12,flat_liquid_surface_reference,free_surface_reference,0
14,8.709466605e-07,0.000000000e+00,4.313004294e-06,4.385700326e-04,4.953249716e+07,2.013276700e-12,flat_liquid_surface_reference,free_surface_reference,0
15,5.433299591e-07,0.000000000e+00,4.600335788e-06,4.378825821e-04,4.945485587e+07,9.809045579e-13,flat_liquid_surface_reference,free_surface_reference,0
16,2.874620833e-07,0.000000000e+00,4.824740045e-06,4.375720392e-04,4.941978287e+07,4.053139289e-13,flat_liquid_surface_reference,free_surface_reference,0
17,8.762997732e-08,0.000000000e+00,5.000000000e-06,4.374649260e-04,4.940768540e+07,9.649732237e-14,flat_liquid_surface_reference,free_surface_reference,0
18,9.978175096e-06,0.000000000e+00,5.043649807e-06,3.022077889e-03,3.413162171e+08,2.736612575e-12,emitter,emitter_tip_land,1
19,9.928425679e-06,0.000000000e+00,5.099498835e-06,1.752518793e-03,1.979310616e+08,3.483981770e-12,emitter,emitter_tip_land,1
