# nur die festgehaltenen Knoten; alle uebrigen sind frei
r_m,z_m,role
0.000000000e+00,-2.000000000e-04,liquid_feed_boundary
2.253927972e-07,-2.000000000e-04,liquid_feed_boundary
4.710108625e-07,-2.000000000e-04,liquid_feed_boundary
7.388114821e-07,-2.000000000e-04,liquid_feed_boundary
1.030777353e-06,-2.000000000e-04,liquid_feed_boundary
1.349134956e-06,-2.000000000e-04,liquid_feed_boundary
1.696071563e-06,-2.000000000e-04,liquid_feed_boundary
2.065284294e-06,-2.000000000e-04,liquid_feed_boundary
2.411371865e-06,-2.000000000e-04,liquid_feed_boundary
2.728827367e-06,-2.000000000e-04,liquid_feed_boundary
3.019944202e-06,-2.000000000e-04,liquid_feed_boundary
3.287031469e-06,-2.000000000e-04,liquid_feed_boundary
3.531983203e-06,-2.000000000e-04,liquid_feed_boundary
3.756739224e-06,-2.000000000e-04,liquid_feed_boundary
3.962851098e-06,-2.000000000e-04,liquid_feed_boundary
4.151964219e-06,-2.000000000e-04,liquid_feed_boundary
4.325432522e-06,-2.000000000e-04,liquid_feed_boundary
4.484611324e-06,-2.000000000e-04,liquid_feed_boundary
4.630594259e-06,-2.000000000e-04,liquid_feed_boundary
4.764494569e-06,-2.000000000e-04,liquid_feed_boundary
4.887303601e-06,-2.000000000e-04,liquid_feed_boundary
5.000000000e-06,-2.000000000e-04,liquid_feed_boundary
0.000000000e+00,-1.858810726e-04,liquid_conductor
2.253927972e-07,-1.858810726e-04,liquid_conductor
4.710108625e-07,-1.858810726e-04,liquid_conductor
7.388114821e-07,-1.858810726e-04,liquid_conductor
1.030777353e-06,-1.858810726e-04,liquid_conductor
1.349134956e-06,-1.858810726e-04,liquid_conductor
1.696071563e-06,-1.858810726e-04,liquid_conductor
2.065284294e-06,-1.858810726e-04,liquid_conductor
2.411371865e-06,-1.858810726e-04,liquid_conductor
2.728827367e-06,-1.858810726e-04,liquid_conductor
3.019944202e-06,-1.858810726e-04,liquid_conductor
3.287031469e-06,-1.858810726e-04,liquid_conductor
3.531983203e-06,-1.858810726e-04,liquid_conductor
3.756739224e-06,-1.858810726e-04,liquid_conductor
3.962851098e-06,-1.858810726e-04,liquid_conductor
4.151964219e-06,-1.858810726e-04,liquid_conductor
4.325432522e-06,-1.858810726e-04,liquid_conductor
4.484611324e-06,-1.858810726e-04,liquid_conductor
4.630594259e-06,-1.858810726e-04,liquid_conductor
4.764494569e-06,-1.858810726e-04,liquid_conductor
4.887303601e-06,-1.858810726e-04,liquid_conductor
5.000000000e-06,-1.858810726e-04,liquid_conductor
0.000000000e+00,-1.729316676e-04,liquid_conductor
2.253927972e-07,-1.729316676e-04,liquid_conductor
4.710108625e-07,-1.729316676e-04,liquid_conductor
7.388114821e-07,-1.729316676e-04,liquid_conductor
1.030777353e-06,-1.729316676e-04,liquid_conductor
1.349134956e-06,-1.729316676e-04,liquid_conductor
1.696071563e-06,-1.729316676e-04,liquid_conductor
2.065284294e-06,-1.729316676e-04,liquid_conductor
2.411371865e-06,-1.729316676e-04,liquid_conductor
2.728827367e-06,-1.729316676e-04,liquid_conductor
3.019944202e-06,-1.729316676e-04,liquid_conductor
3.287031469e-06,-1.729316676e-04,liquid_conductor
3.531983203e-06,-1.729316676e-04,liquid_conductor
3.756739224e-06,-1.729316676e-04,liquid_conductor
3.962851098e-06,-1.729316676e-04,liquid_conductor
4.151964219e-06,-1.729316676e-04,liquid_conductor
4.325432522e-06,-1.729316676e-04,liquid_conductor
4.484611324e-06,-1.729316676e-04,liquid_conductor
4.630594259e-06,-1.729316676e-04,liquid_conductor
4.764494569e-06,-1.729316676e-04,liquid_conductor
4.887303601e-06,-1.729316676e-04,liquid_conductor
5.000000000e-06,-1.729316676e-04,liquid_conductor
0.000000000e+00,-1.610568302e-04,liquid_conductor
2.253927972e-07,-1.610568302e-04,liquid_conductor
4.710108625e-07,-1.610568302e-04,liquid_conductor
7.388114821e-07,-1.610568302e-04,liquid_conductor
1.030777353e-06,-1.610568302e-04,liquid_conductor
1.349134956e-06,-1.610568302e-04,liquid_conductor
1.696071563e-06,-1.610568302e-04,liquid_conductor
2.065284294e-06,-1.610568302e-04,liquid_conductor
2.411371865e-06,-1.610568302e-04,liquid_conductor
2.728827367e-06,-1.610568302e-04,liquid_conductor
3.019944202e-06,-1.610568302e-04,liquid_conductor
3.287031469e-06,-1.610568302e-04,liquid_conductor
3.531983203e-06,-1.610568302e-04,liquid_conductor
3.756739224e-06,-1.610568302e-04,liquid_conductor
3.962851098e-06,-1.610568302e-04,liquid_conductor
4.151964219e-06,-1.610568302e-04,liquid_conductor
4.325432522e-06,-1.610568302e-04,liquid_conductor
4.484611324e-06,-1.610568302e-04,liquid_conductor
4.630594259e-06,-1.610568302e-04,liquid_conductor
4.764494569e-06,-1.610568302e-04,liquid_conductor
4.887303601e-06,-1.610568302e-04,liquid_conductor
5.000000000e-06,-1.610568302e-04,liquid_conductor
0.000000000e+00,-1.501699529e-04,liquid_conductor
2.253927972e-07,-1.501699529e-04,liquid_conductor
4.710108625e-07,-1.501699529e-04,liquid_conductor
7.388114821e-07,-1.501699529e-04,liquid_conductor
1.030777353e-06,-1.501699529e-04,liquid_conductor
1.349134956e-06,-1.501699529e-04,liquid_conductor
1.696071563e-06,-1.501699529e-04,liquid_conductor
2.065284294e-06,-1.501699529e-04,liquid_conductor
2.411371865e-06,-1.501699529e-04,liquid_conductor
2.728827367e-06,-1.501699529e-04,liquid_conductor
3.019944202e-06,-1.501699529e-04,liquid_conductor
3.287031469e-06,-1.501699529e-04,liquid_conductor
3.531983203e-06,-1.501699529e-04,liquid_conductor
3.756739224e-06,-1.501699529e-04,liquid_conductor
3.962851098e-06,-1.501699529e-04,liquid_conductor
4.151964219e-06,-1.501699529e-04,liquid_conductor
4.325432522e-06,-1.501699529e-04,liquid_conductor
4.484611324e-06,-1.501699529e-04,liquid_conductor
4.630594259e-06,-1.501699529e-04,liquid_conductor
4.764494569e-06,-1.501699529e-04,liquid_conductor
4.887303601e-06,-1.501699529e-04,liquid_conductor
5.000000000e-06,-1.501699529e-04,liquid_conductor
0.000000000e+00,-1.401884922e-04,liquid_conductor
2.253927972e-07,-1.401884922e-04,liquid_conductor
4.710108625e-07,-1.401884922e-04,liquid_conductor
7.388114821e-07,-1.401884922e-04,liquid_conductor
1.030777353e-06,-1.401884922e-04,liquid_conductor
1.349134956e-06,-1.401884922e-04,liquid_conductor
1.696071563e-06,-1.401884922e-04,liquid_conductor
2.065284294e-06,-1.401884922e-04,liquid_conductor
2.411371865e-06,-1.401884922e-04,liquid_conductor
2.728827367e-06,-1.401884922e-04,liquid_conductor
3.019944202e-06,-1.401884922e-04,liquid_conductor
3.287031469e-06,-1.401884922e-04,liquid_conductor
3.531983203e-06,-1.401884922e-04,liquid_conductor
3.756739224e-06,-1.401884922e-04,liquid_conductor
3.962851098e-06,-1.401884922e-04,liquid_conductor
4.151964219e-06,-1.401884922e-04,liquid_conductor
4.325432522e-06,-1.401884922e-04,liquid_conductor
4.484611324e-06,-1.401884922e-04,liquid_conductor
4.630594259e-06,-1.401884922e-04,liquid_conductor
4.764494569e-06,-1.401884922e-04,liquid_conductor
4.887303601e-06,-1.401884922e-04,liquid_conductor
5.000000000e-06,-1.401884922e-04,liquid_conductor
0.000000000e+00,-1.310358074e-04,liquid_conductor
2.253927972e-07,-1.310358074e-04,liquid_conductor
4.710108625e-07,-1.310358074e-04,liquid_conductor
7.388114821e-07,-1.310358074e-04,liquid_conductor
1.030777353e-06,-1.310358074e-04,liquid_conductor
1.349134956e-06,-1.310358074e-04,liquid_conductor
1.696071563e-06,-1.310358074e-04,liquid_conductor
2.065284294e-06,-1.310358074e-04,liquid_conductor
2.411371865e-06,-1.310358074e-04,liquid_conductor
2.728827367e-06,-1.310358074e-04,liquid_conductor
3.019944202e-06,-1.310358074e-04,liquid_conductor
3.287031469e-06,-1.310358074e-04,liquid_conductor
3.531983203e-06,-1.310358074e-04,liquid_conductor
3.756739224e-06,-1.310358074e-04,liquid_conductor
3.962851098e-06,-1.310358074e-04,liquid_conductor
4.151964219e-06,-1.310358074e-04,liquid_conductor
4.325432522e-06,-1.310358074e-04,liquid_conductor
4.484611324e-06,-1.310358074e-04,liquid_conductor
4.630594259e-06,-1.310358074e-04,liquid_conductor
4.764494569e-06,-1.310358074e-04,liquid_conductor
