# Nahfeldausschnitt, fuer alle Vorratsvarianten identisch
# |E| ist im Inneren der Fluessigkeit nicht definiert (idealer Leiter) und dort 0
r_m,z_m,phi_V,E_V_per_m,region
0.0000000e+00,-2.3000000e-04,1.5000000e+03,0.0000000e+00,liquid
3.3472803e-06,-2.3000000e-04,1.5000000e+03,0.0000000e+00,liquid
6.6945607e-06,-2.3000000e-04,1.4903950e+03,4.8994983e+06,reservoir_solid
1.0041841e-05,-2.3000000e-04,1.4770250e+03,3.2736673e+06,reservoir_solid
1.3389121e-05,-2.3000000e-04,1.4675061e+03,2.4806205e+06,reservoir_solid
1.6736402e-05,-2.3000000e-04,1.4600689e+03,1.9951561e+06,reservoir_solid
2.0083682e-05,-2.3000000e-04,1.4539596e+03,1.6769293e+06,reservoir_solid
2.3430962e-05,-2.3000000e-04,1.4487486e+03,1.4523962e+06,reservoir_solid
2.6778243e-05,-2.3000000e-04,1.4441895e+03,1.2891462e+06,reservoir_solid
3.0125523e-05,-2.3000000e-04,1.4401240e+03,1.1609918e+06,reservoir_solid
3.3472803e-05,-2.3000000e-04,1.4364473e+03,1.0603920e+06,reservoir_solid
3.6820084e-05,-2.3000000e-04,1.4330898e+03,9.7910191e+05,reservoir_solid
4.0167364e-05,-2.3000000e-04,1.4299937e+03,9.1202929e+05,reservoir_solid
4.3514644e-05,-2.3000000e-04,1.4271190e+03,8.5593084e+05,reservoir_solid
4.6861925e-05,-2.3000000e-04,1.4244376e+03,8.0860914e+05,reservoir_solid
5.0209205e-05,-2.3000000e-04,1.4219192e+03,7.6818718e+05,reservoir_solid
5.3556485e-05,-2.3000000e-04,1.4195564e+03,7.3380263e+05,reservoir_solid
5.6903766e-05,-2.3000000e-04,1.4173178e+03,7.0400610e+05,reservoir_solid
6.0251046e-05,-2.3000000e-04,1.4151968e+03,6.7827835e+05,reservoir_solid
6.3598326e-05,-2.3000000e-04,1.4131857e+03,6.5605702e+05,reservoir_solid
6.6945607e-05,-2.3000000e-04,1.4112758e+03,6.3685687e+05,reservoir_solid
7.0292887e-05,-2.3000000e-04,1.4094574e+03,6.2022452e+05,reservoir_solid
7.3640167e-05,-2.3000000e-04,1.4077201e+03,6.0573993e+05,reservoir_solid
7.6987448e-05,-2.3000000e-04,1.4060527e+03,5.9305342e+05,reservoir_solid
8.0334728e-05,-2.3000000e-04,1.4044435e+03,5.8187031e+05,reservoir_solid
8.3682008e-05,-2.3000000e-04,1.4029235e+03,5.7244228e+05,reservoir_solid
8.7029289e-05,-2.3000000e-04,1.4014530e+03,5.6411609e+05,reservoir_solid
9.0376569e-05,-2.3000000e-04,1.4000255e+03,5.5676256e+05,reservoir_solid
9.3723849e-05,-2.3000000e-04,1.3986775e+03,5.5062279e+05,reservoir_solid
9.7071130e-05,-2.3000000e-04,1.3973463e+03,5.4505335e+05,reservoir_solid
1.0041841e-04,-2.3000000e-04,1.3960978e+03,5.4049987e+05,reservoir_solid
1.0376569e-04,-2.3000000e-04,1.3948568e+03,5.3635117e+05,reservoir_solid
1.0711297e-04,-2.3000000e-04,1.3936944e+03,5.3300117e+05,reservoir_solid
1.1046025e-04,-2.3000000e-04,1.3925320e+03,5.2995272e+05,reservoir_solid
1.1380753e-04,-2.3000000e-04,1.3914473e+03,5.2754994e+05,reservoir_solid
1.1715481e-04,-2.3000000e-04,1.3903685e+03,5.2542076e+05,reservoir_solid
1.2050209e-04,-2.3000000e-04,1.3893358e+03,5.2372924e+05,reservoir_solid
1.2384937e-04,-2.3000000e-04,1.3883378e+03,5.2237373e+05,reservoir_solid
1.2719665e-04,-2.3000000e-04,1.3873414e+03,5.2119883e+05,reservoir_solid
1.3054393e-04,-2.3000000e-04,1.3864162e+03,5.2029078e+05,reservoir_solid
1.3389121e-04,-2.3000000e-04,1.3854910e+03,5.1954250e+05,reservoir_solid
1.3723849e-04,-2.3000000e-04,1.3846023e+03,5.1898674e+05,reservoir_solid
1.4058577e-04,-2.3000000e-04,1.3837383e+03,5.1859502e+05,reservoir_solid
1.4393305e-04,-2.3000000e-04,1.3828934e+03,5.1834860e+05,reservoir_solid
1.4728033e-04,-2.3000000e-04,1.3820805e+03,5.1823738e+05,reservoir_solid
1.5062762e-04,-2.3000000e-04,1.3812821e+03,5.1824032e+05,reservoir_solid
1.5397490e-04,-2.3000000e-04,1.3805122e+03,5.1834428e+05,reservoir_solid
1.5732218e-04,-2.3000000e-04,1.3797598e+03,5.1853762e+05,reservoir_solid
1.6066946e-04,-2.3000000e-04,1.3790267e+03,5.1880976e+05,reservoir_solid
1.6401674e-04,-2.3000000e-04,1.3783177e+03,5.1914553e+05,reservoir_solid
1.6736402e-04,-2.3000000e-04,1.3776217e+03,5.1954583e+05,reservoir_solid
1.7071130e-04,-2.3000000e-04,1.3769474e+03,5.1999349e+05,reservoir_solid
1.7405858e-04,-2.3000000e-04,1.3762914e+03,5.2048361e+05,reservoir_solid
1.7740586e-04,-2.3000000e-04,1.3756505e+03,5.2101394e+05,reservoir_solid
1.8075314e-04,-2.3000000e-04,1.3750254e+03,5.2157714e+05,reservoir_solid
1.8410042e-04,-2.3000000e-04,1.3744165e+03,5.2216725e+05,reservoir_solid
1.8744770e-04,-2.3000000e-04,1.3738233e+03,5.2277941e+05,reservoir_solid
1.9079498e-04,-2.3000000e-04,1.3732452e+03,5.2340976e+05,reservoir_solid
1.9414226e-04,-2.3000000e-04,1.3726812e+03,5.2405620e+05,reservoir_solid
1.9748954e-04,-2.3000000e-04,1.3721303e+03,5.2471626e+05,reservoir_solid
2.0083682e-04,-2.3000000e-04,1.3715937e+03,5.2541686e+05,reservoir_solid
2.0418410e-04,-2.3000000e-04,1.3710697e+03,5.2609541e+05,reservoir_solid
2.0753138e-04,-2.3000000e-04,1.3705577e+03,5.2677608e+05,reservoir_solid
2.1087866e-04,-2.3000000e-04,1.3700589e+03,5.2745804e+05,reservoir_solid
2.1422594e-04,-2.3000000e-04,1.3695716e+03,5.2814190e+05,reservoir_solid
2.1757322e-04,-2.3000000e-04,1.3690953e+03,5.2882702e+05,reservoir_solid
2.2092050e-04,-2.3000000e-04,1.3686311e+03,5.2950858e+05,reservoir_solid
2.2426778e-04,-2.3000000e-04,1.3681782e+03,5.3018656e+05,reservoir_solid
2.2761506e-04,-2.3000000e-04,1.3677352e+03,5.3086233e+05,reservoir_solid
2.3096234e-04,-2.3000000e-04,1.3673007e+03,5.3153784e+05,reservoir_solid
2.3430962e-04,-2.3000000e-04,1.3668780e+03,5.3220381e+05,reservoir_solid
2.3765690e-04,-2.3000000e-04,1.3664654e+03,5.3286271e+05,reservoir_solid
2.4100418e-04,-2.3000000e-04,1.3660579e+03,5.3352595e+05,reservoir_solid
2.4435146e-04,-2.3000000e-04,1.3656662e+03,5.3416521e+05,reservoir_solid
2.4769874e-04,-2.3000000e-04,1.3652775e+03,5.3481219e+05,reservoir_solid
2.5104603e-04,-2.3000000e-04,1.3649022e+03,5.3543913e+05,reservoir_solid
2.5439331e-04,-2.3000000e-04,1.3645303e+03,5.3607112e+05,reservoir_solid
2.5774059e-04,-2.3000000e-04,1.3641720e+03,5.3667995e+05,reservoir_solid
2.6108787e-04,-2.3000000e-04,1.3638142e+03,5.3729987e+05,reservoir_solid
2.6443515e-04,-2.3000000e-04,1.3634735e+03,5.3788722e+05,reservoir_solid
2.6778243e-04,-2.3000000e-04,1.3631328e+03,5.3848521e+05,reservoir_solid
2.7112971e-04,-2.3000000e-04,1.3628038e+03,5.3906306e+05,reservoir_solid
2.7447699e-04,-2.3000000e-04,1.3624811e+03,5.3963397e+05,reservoir_solid
2.7782427e-04,-2.3000000e-04,1.3621595e+03,5.4021113e+05,reservoir_solid
2.8117155e-04,-2.3000000e-04,1.3618552e+03,5.4075195e+05,reservoir_solid
2.8451883e-04,-2.3000000e-04,1.3615508e+03,5.4130073e+05,reservoir_solid
2.8786611e-04,-2.3000000e-04,1.3612508e+03,5.4184619e+05,reservoir_solid
2.9121339e-04,-2.3000000e-04,1.3609651e+03,5.4236188e+05,reservoir_solid
2.9456067e-04,-2.3000000e-04,1.3606794e+03,5.4288434e+05,reservoir_solid
2.9790795e-04,-2.3000000e-04,1.3603964e+03,5.4340659e+05,reservoir_solid
3.0125523e-04,-2.3000000e-04,1.3601296e+03,5.4389343e+05,reservoir_solid
3.0460251e-04,-2.3000000e-04,1.3598627e+03,5.4438599e+05,reservoir_solid
3.0794979e-04,-2.3000000e-04,1.3595958e+03,5.4488425e+05,reservoir_solid
3.1129707e-04,-2.3000000e-04,1.3593436e+03,5.4535065e+05,reservoir_solid
3.1464435e-04,-2.3000000e-04,1.3590957e+03,5.4581069e+05,reservoir_solid
3.1799163e-04,-2.3000000e-04,1.3588478e+03,5.4627548e+05,reservoir_solid
3.2133891e-04,-2.3000000e-04,1.3586014e+03,5.4674100e+05,reservoir_solid
3.2468619e-04,-2.3000000e-04,1.3583725e+03,5.4716702e+05,reservoir_solid
3.2803347e-04,-2.3000000e-04,1.3581435e+03,5.4759697e+05,reservoir_solid
3.3138075e-04,-2.3000000e-04,1.3579145e+03,5.4803082e+05,reservoir_solid
3.3472803e-04,-2.3000000e-04,1.3576866e+03,5.4846586e+05,reservoir_solid
3.3807531e-04,-2.3000000e-04,1.3574764e+03,5.4885991e+05,reservoir_solid
3.4142259e-04,-2.3000000e-04,1.3572662e+03,5.4925715e+05,reservoir_solid
3.4476987e-04,-2.3000000e-04,1.3570561e+03,5.4965756e+05,reservoir_solid
3.4811715e-04,-2.3000000e-04,1.3568459e+03,5.5006112e+05,reservoir_solid
3.5146444e-04,-2.3000000e-04,1.3566479e+03,5.5043809e+05,reservoir_solid
3.5481172e-04,-2.3000000e-04,1.3564563e+03,5.5080224e+05,reservoir_solid
3.5815900e-04,-2.3000000e-04,1.3562646e+03,5.5116894e+05,reservoir_solid
3.6150628e-04,-2.3000000e-04,1.3560730e+03,5.5153819e+05,reservoir_solid
3.6485356e-04,-2.3000000e-04,1.3558814e+03,5.5190998e+05,reservoir_solid
3.6820084e-04,-2.3000000e-04,1.3557053e+03,5.5224626e+05,reservoir_solid
3.7154812e-04,-2.3000000e-04,1.3555318e+03,5.5257825e+05,reservoir_solid
3.7489540e-04,-2.3000000e-04,1.3553583e+03,5.5291226e+05,reservoir_solid
3.7824268e-04,-2.3000000e-04,1.3551849e+03,5.5324827e+05,reservoir_solid
3.8158996e-04,-2.3000000e-04,1.3550114e+03,5.5358628e+05,reservoir_solid
3.8493724e-04,-2.3000000e-04,1.3548487e+03,5.5390057e+05,reservoir_solid
3.8828452e-04,-2.3000000e-04,1.3546929e+03,5.5420010e+05,reservoir_solid
3.9163180e-04,-2.3000000e-04,1.3545371e+03,5.5450120e+05,reservoir_solid
3.9497908e-04,-2.3000000e-04,1.3543812e+03,5.5480387e+05,reservoir_solid
