# Nahfeldausschnitt, fuer alle Vorratsvarianten identisch
# |E| ist im Inneren der Fluessigkeit nicht definiert (idealer Leiter) und dort 0
r_m,z_m,phi_V,E_V_per_m,region
0.0000000e+00,-2.3000000e-04,1.5000000e+03,0.0000000e+00,liquid
3.3472803e-06,-2.3000000e-04,1.5000000e+03,0.0000000e+00,liquid
6.6945607e-06,-2.3000000e-04,1.4904027e+03,4.8955956e+06,reservoir_solid
1.0041841e-05,-2.3000000e-04,1.4770433e+03,3.2710596e+06,reservoir_solid
1.3389121e-05,-2.3000000e-04,1.4675320e+03,2.4786447e+06,reservoir_solid
1.6736402e-05,-2.3000000e-04,1.4601007e+03,1.9935671e+06,reservoir_solid
2.0083682e-05,-2.3000000e-04,1.4539963e+03,1.6755942e+06,reservoir_solid
2.3430962e-05,-2.3000000e-04,1.4487894e+03,1.4512405e+06,reservoir_solid
2.6778243e-05,-2.3000000e-04,1.4442339e+03,1.2881212e+06,reservoir_solid
3.0125523e-05,-2.3000000e-04,1.4401717e+03,1.1600698e+06,reservoir_solid
3.3472803e-05,-2.3000000e-04,1.4364980e+03,1.0595513e+06,reservoir_solid
3.6820084e-05,-2.3000000e-04,1.4331432e+03,9.7832721e+05,reservoir_solid
4.0167364e-05,-2.3000000e-04,1.4300495e+03,9.1130945e+05,reservoir_solid
4.3514644e-05,-2.3000000e-04,1.4271771e+03,8.5525724e+05,reservoir_solid
4.6861925e-05,-2.3000000e-04,1.4244979e+03,8.0797488e+05,reservoir_solid
5.0209205e-05,-2.3000000e-04,1.4219815e+03,7.6758687e+05,reservoir_solid
5.3556485e-05,-2.3000000e-04,1.4196206e+03,7.3323151e+05,reservoir_solid
5.6903766e-05,-2.3000000e-04,1.4173839e+03,7.0346057e+05,reservoir_solid
6.0251046e-05,-2.3000000e-04,1.4152646e+03,6.7775521e+05,reservoir_solid
6.3598326e-05,-2.3000000e-04,1.4132551e+03,6.5555348e+05,reservoir_solid
6.6945607e-05,-2.3000000e-04,1.4113468e+03,6.3637052e+05,reservoir_solid
7.0292887e-05,-2.3000000e-04,1.4095299e+03,6.1975331e+05,reservoir_solid
7.3640167e-05,-2.3000000e-04,1.4077940e+03,6.0528211e+05,reservoir_solid
7.6987448e-05,-2.3000000e-04,1.4061280e+03,5.9260756e+05,reservoir_solid
8.0334728e-05,-2.3000000e-04,1.4045202e+03,5.8143521e+05,reservoir_solid
8.3682008e-05,-2.3000000e-04,1.4030015e+03,5.7201641e+05,reservoir_solid
8.7029289e-05,-2.3000000e-04,1.4015323e+03,5.6369857e+05,reservoir_solid
9.0376569e-05,-2.3000000e-04,1.4001060e+03,5.5635261e+05,reservoir_solid
9.3723849e-05,-2.3000000e-04,1.3987591e+03,5.5021928e+05,reservoir_solid
9.7071130e-05,-2.3000000e-04,1.3974291e+03,5.4465590e+05,reservoir_solid
1.0041841e-04,-2.3000000e-04,1.3961817e+03,5.4010747e+05,reservoir_solid
1.0376569e-04,-2.3000000e-04,1.3949418e+03,5.3596358e+05,reservoir_solid
1.0711297e-04,-2.3000000e-04,1.3937804e+03,5.3261753e+05,reservoir_solid
1.1046025e-04,-2.3000000e-04,1.3926191e+03,5.2957290e+05,reservoir_solid
1.1380753e-04,-2.3000000e-04,1.3915353e+03,5.2717319e+05,reservoir_solid
1.1715481e-04,-2.3000000e-04,1.3904576e+03,5.2504693e+05,reservoir_solid
1.2050209e-04,-2.3000000e-04,1.3894258e+03,5.2335783e+05,reservoir_solid
1.2384937e-04,-2.3000000e-04,1.3884288e+03,5.2200438e+05,reservoir_solid
1.2719665e-04,-2.3000000e-04,1.3874333e+03,5.2083146e+05,reservoir_solid
1.3054393e-04,-2.3000000e-04,1.3865090e+03,5.1992501e+05,reservoir_solid
1.3389121e-04,-2.3000000e-04,1.3855848e+03,5.1917827e+05,reservoir_solid
1.3723849e-04,-2.3000000e-04,1.3846970e+03,5.1862380e+05,reservoir_solid
1.4058577e-04,-2.3000000e-04,1.3838338e+03,5.1823321e+05,reservoir_solid
1.4393305e-04,-2.3000000e-04,1.3829898e+03,5.1798777e+05,reservoir_solid
1.4728033e-04,-2.3000000e-04,1.3821777e+03,5.1787734e+05,reservoir_solid
1.5062762e-04,-2.3000000e-04,1.3813802e+03,5.1788096e+05,reservoir_solid
1.5397490e-04,-2.3000000e-04,1.3806112e+03,5.1798544e+05,reservoir_solid
1.5732218e-04,-2.3000000e-04,1.3798596e+03,5.1817921e+05,reservoir_solid
1.6066946e-04,-2.3000000e-04,1.3791272e+03,5.1845167e+05,reservoir_solid
1.6401674e-04,-2.3000000e-04,1.3784191e+03,5.1878764e+05,reservoir_solid
1.6736402e-04,-2.3000000e-04,1.3777239e+03,5.1918807e+05,reservoir_solid
1.7071130e-04,-2.3000000e-04,1.3770504e+03,5.1963577e+05,reservoir_solid
1.7405858e-04,-2.3000000e-04,1.3763952e+03,5.2012585e+05,reservoir_solid
1.7740586e-04,-2.3000000e-04,1.3757550e+03,5.2065607e+05,reservoir_solid
1.8075314e-04,-2.3000000e-04,1.3751308e+03,5.2121910e+05,reservoir_solid
1.8410042e-04,-2.3000000e-04,1.3745226e+03,5.2180898e+05,reservoir_solid
1.8744770e-04,-2.3000000e-04,1.3739302e+03,5.2242085e+05,reservoir_solid
1.9079498e-04,-2.3000000e-04,1.3733528e+03,5.2305086e+05,reservoir_solid
1.9414226e-04,-2.3000000e-04,1.3727895e+03,5.2369691e+05,reservoir_solid
1.9748954e-04,-2.3000000e-04,1.3722394e+03,5.2435653e+05,reservoir_solid
2.0083682e-04,-2.3000000e-04,1.3717036e+03,5.2505662e+05,reservoir_solid
2.0418410e-04,-2.3000000e-04,1.3711803e+03,5.2573464e+05,reservoir_solid
2.0753138e-04,-2.3000000e-04,1.3706691e+03,5.2641475e+05,reservoir_solid
2.1087866e-04,-2.3000000e-04,1.3701710e+03,5.2709611e+05,reservoir_solid
2.1422594e-04,-2.3000000e-04,1.3696845e+03,5.2777934e+05,reservoir_solid
2.1757322e-04,-2.3000000e-04,1.3692090e+03,5.2846379e+05,reservoir_solid
2.2092050e-04,-2.3000000e-04,1.3687455e+03,5.2914465e+05,reservoir_solid
2.2426778e-04,-2.3000000e-04,1.3682934e+03,5.2982190e+05,reservoir_solid
2.2761506e-04,-2.3000000e-04,1.3678511e+03,5.3049691e+05,reservoir_solid
2.3096234e-04,-2.3000000e-04,1.3674174e+03,5.3117164e+05,reservoir_solid
2.3430962e-04,-2.3000000e-04,1.3669954e+03,5.3183678e+05,reservoir_solid
2.3765690e-04,-2.3000000e-04,1.3665836e+03,5.3249484e+05,reservoir_solid
2.4100418e-04,-2.3000000e-04,1.3661768e+03,5.3315722e+05,reservoir_solid
2.4435146e-04,-2.3000000e-04,1.3657859e+03,5.3379557e+05,reservoir_solid
2.4769874e-04,-2.3000000e-04,1.3653979e+03,5.3444163e+05,reservoir_solid
2.5104603e-04,-2.3000000e-04,1.3650235e+03,5.3506762e+05,reservoir_solid
2.5439331e-04,-2.3000000e-04,1.3646523e+03,5.3569864e+05,reservoir_solid
2.5774059e-04,-2.3000000e-04,1.3642948e+03,5.3630646e+05,reservoir_solid
2.6108787e-04,-2.3000000e-04,1.3639377e+03,5.3692538e+05,reservoir_solid
2.6443515e-04,-2.3000000e-04,1.3635978e+03,5.3751166e+05,reservoir_solid
2.6778243e-04,-2.3000000e-04,1.3632579e+03,5.3810860e+05,reservoir_solid
2.7112971e-04,-2.3000000e-04,1.3629297e+03,5.3868535e+05,reservoir_solid
2.7447699e-04,-2.3000000e-04,1.3626078e+03,5.3925513e+05,reservoir_solid
2.7782427e-04,-2.3000000e-04,1.3622870e+03,5.3983117e+05,reservoir_solid
2.8117155e-04,-2.3000000e-04,1.3619835e+03,5.4037080e+05,reservoir_solid
2.8451883e-04,-2.3000000e-04,1.3616799e+03,5.4091839e+05,reservoir_solid
2.8786611e-04,-2.3000000e-04,1.3613807e+03,5.4146265e+05,reservoir_solid
2.9121339e-04,-2.3000000e-04,1.3610958e+03,5.4197707e+05,reservoir_solid
2.9456067e-04,-2.3000000e-04,1.3608109e+03,5.4249828e+05,reservoir_solid
2.9790795e-04,-2.3000000e-04,1.3605288e+03,5.4301926e+05,reservoir_solid
3.0125523e-04,-2.3000000e-04,1.3602628e+03,5.4350475e+05,reservoir_solid
3.0460251e-04,-2.3000000e-04,1.3599967e+03,5.4399597e+05,reservoir_solid
3.0794979e-04,-2.3000000e-04,1.3597307e+03,5.4449290e+05,reservoir_solid
3.1129707e-04,-2.3000000e-04,1.3594793e+03,5.4495787e+05,reservoir_solid
3.1464435e-04,-2.3000000e-04,1.3592323e+03,5.4541647e+05,reservoir_solid
3.1799163e-04,-2.3000000e-04,1.3589852e+03,5.4587984e+05,reservoir_solid
3.2133891e-04,-2.3000000e-04,1.3587398e+03,5.4634393e+05,reservoir_solid
3.2468619e-04,-2.3000000e-04,1.3585117e+03,5.4676840e+05,reservoir_solid
3.2803347e-04,-2.3000000e-04,1.3582836e+03,5.4719680e+05,reservoir_solid
3.3138075e-04,-2.3000000e-04,1.3580555e+03,5.4762912e+05,reservoir_solid
3.3472803e-04,-2.3000000e-04,1.3578285e+03,5.4806263e+05,reservoir_solid
3.3807531e-04,-2.3000000e-04,1.3576193e+03,5.4845501e+05,reservoir_solid
3.4142259e-04,-2.3000000e-04,1.3574100e+03,5.4885058e+05,reservoir_solid
3.4476987e-04,-2.3000000e-04,1.3572008e+03,5.4924934e+05,reservoir_solid
3.4811715e-04,-2.3000000e-04,1.3569916e+03,5.4965127e+05,reservoir_solid
3.5146444e-04,-2.3000000e-04,1.3567945e+03,5.5002648e+05,reservoir_solid
3.5481172e-04,-2.3000000e-04,1.3566039e+03,5.5038882e+05,reservoir_solid
3.5815900e-04,-2.3000000e-04,1.3564132e+03,5.5075372e+05,reservoir_solid
3.6150628e-04,-2.3000000e-04,1.3562226e+03,5.5112119e+05,reservoir_solid
3.6485356e-04,-2.3000000e-04,1.3560319e+03,5.5149120e+05,reservoir_solid
3.6820084e-04,-2.3000000e-04,1.3558568e+03,5.5182553e+05,reservoir_solid
3.7154812e-04,-2.3000000e-04,1.3556844e+03,5.5215556e+05,reservoir_solid
3.7489540e-04,-2.3000000e-04,1.3555119e+03,5.5248760e+05,reservoir_solid
3.7824268e-04,-2.3000000e-04,1.3553395e+03,5.5282167e+05,reservoir_solid
3.8158996e-04,-2.3000000e-04,1.3551670e+03,5.5315775e+05,reservoir_solid
3.8493724e-04,-2.3000000e-04,1.3550054e+03,5.5346996e+05,reservoir_solid
3.8828452e-04,-2.3000000e-04,1.3548507e+03,5.5376734e+05,reservoir_solid
3.9163180e-04,-2.3000000e-04,1.3546960e+03,5.5406629e+05,reservoir_solid
3.9497908e-04,-2.3000000e-04,1.3545412e+03,5.5436682e+05,reservoir_solid
