# einseitiges E_z unmittelbar ueber der ebenen Fluessigkeitsreferenz (z = 0+)
# 9 kantennahe Zellen sind ausgeschlossen: die unverrundete Austrittskante
# hat dort ein divergierendes Feld, das der Elementgroesse folgt.
r_m,Ez_V_per_m
0.000000000e+00,3.401947392e+07
2.253927972e-07,3.405204096e+07
4.710108625e-07,3.411931812e+07
7.388114821e-07,3.424196851e+07
1.030777353e-06,3.443812750e+07
1.349134956e-06,3.473278648e+07
1.696071563e-06,3.515493620e+07
2.065284294e-06,3.570063431e+07
2.411371865e-06,3.638430777e+07
2.728827367e-06,3.718666122e+07
3.019944202e-06,3.810820409e+07
3.287031469e-06,3.916026407e+07
3.531983203e-06,4.036202684e+07
