# Die implizite Gleichung fuer tau, als zwei Kurven ueber der Frequenz:
#   tau_from_eps(f) = eps0 eps_r(f) / K   -- aus der GEMESSENEN Kurve
#   tau_from_f(f)   = 1 / (2 pi f)        -- die Definition von f*
# Ihr Schnittpunkt ist die Loesung.  Es wird nichts angepasst und keine
# Dispersionsfunktion erfunden; zwischen Messfrequenzen wird logarithmisch
# interpoliert und ausserhalb gar nicht erst gerechnet.
frequency_Hz,eps_r,tau_from_eps_s,tau_from_f_s,is_solution
1.000000000e+09,1.170000000e+01,6.647641581e-11,1.591549431e-10,no
1.007252099e+09,1.169270263e+01,6.643495402e-11,1.580090458e-10,no
1.014556792e+09,1.168540526e+01,6.639349223e-11,1.568713988e-10,no
1.021914459e+09,1.167810789e+01,6.635203045e-11,1.557419428e-10,no
1.029325484e+09,1.167081052e+01,6.631056866e-11,1.546206187e-10,no
1.036790254e+09,1.166351316e+01,6.626910687e-11,1.535073680e-10,no
1.044309160e+09,1.165621579e+01,6.622764508e-11,1.524021325e-10,no
1.051882594e+09,1.164891842e+01,6.618618329e-11,1.513048547e-10,no
1.059510952e+09,1.164162105e+01,6.614472151e-11,1.502154771e-10,no
1.067194630e+09,1.163432368e+01,6.610325972e-11,1.491339429e-10,no
1.074934032e+09,1.162702631e+01,6.606179793e-11,1.480601957e-10,no
1.082729560e+09,1.161972894e+01,6.602033614e-11,1.469941793e-10,no
1.090581623e+09,1.161243157e+01,6.597887435e-11,1.459358381e-10,no
1.098490629e+09,1.160513421e+01,6.593741257e-11,1.448851168e-10,no
1.106456992e+09,1.159783684e+01,6.589595078e-11,1.438419606e-10,no
1.114481128e+09,1.159053947e+01,6.585448899e-11,1.428063150e-10,no
1.122563456e+09,1.158324210e+01,6.581302720e-11,1.417781259e-10,no
1.130704398e+09,1.157594473e+01,6.577156541e-11,1.407573397e-10,no
1.138904379e+09,1.156864736e+01,6.573010363e-11,1.397439030e-10,no
1.147163827e+09,1.156134999e+01,6.568864184e-11,1.387377630e-10,no
1.155483173e+09,1.155405262e+01,6.564718005e-11,1.377388670e-10,no
1.163862852e+09,1.154675526e+01,6.560571826e-11,1.367471630e-10,no
1.172303301e+09,1.153945789e+01,6.556425647e-11,1.357625991e-10,no
1.180804961e+09,1.153216052e+01,6.552279469e-11,1.347851240e-10,no
1.189368276e+09,1.152486315e+01,6.548133290e-11,1.338146866e-10,no
1.197993693e+09,1.151756578e+01,6.543987111e-11,1.328512362e-10,no
1.206681662e+09,1.151026841e+01,6.539840932e-11,1.318947226e-10,no
1.215432638e+09,1.150297104e+01,6.535694753e-11,1.309450957e-10,no
