# Netzkonvergenz bei vorgegebener Intervallzahl.  Die Intervallzahl ist
# KEINE Benutzereingabe: im Normalbetrieb waehlt der Loeser sie aus der
# geforderten Genauigkeit.  Hier wird sie fuer die Studie erzwungen.
Pi,n_intervals,err_profile_normal,err_profile_z,err_h_rel,err_A_rel,err_V_rel,residual_max,residual_rms
-1.500000000e+00,16,6.750686663e-07,6.750686663e-07,1.495446158e-06,4.094919881e-07,1.341405672e-06,8.763688754e-05,8.553742533e-05
-1.500000000e+00,32,4.857639508e-08,4.857639508e-08,1.076088808e-07,2.544608782e-08,8.316872792e-08,2.193829580e-05,2.167017961e-05
-1.500000000e+00,64,3.432840221e-09,3.432840306e-09,7.604601362e-09,1.584941652e-09,5.174521081e-09,5.486480001e-06,5.452575171e-06
-1.500000000e+00,128,2.393093387e-10,2.393093387e-10,5.301304924e-10,9.887644599e-11,3.226313763e-10,1.371742783e-06,1.367478127e-06
-1.500000000e+00,256,1.650308172e-11,1.650308172e-11,3.655883428e-11,6.173327104e-12,2.014010203e-11,3.429508597e-07,3.424085307e-07
-5.000000000e-01,16,1.240542432e-08,1.240542408e-08,9.766769722e-08,2.386658148e-09,8.427072799e-08,2.597910696e-06,2.535656170e-06
-5.000000000e-01,32,9.235383183e-10,9.235383818e-10,7.271002300e-09,1.473773606e-10,5.232120591e-09,6.494726118e-07,6.415351279e-07
-5.000000000e-01,64,6.703012169e-11,6.703010051e-11,5.277268650e-10,9.150961255e-12,3.257936927e-10,1.623708081e-07,1.613673434e-07
-5.000000000e-01,128,4.772522438e-12,4.772691845e-12,3.757532341e-11,5.700625364e-13,2.032295548e-11,4.059340167e-08,4.046675935e-08
-5.000000000e-01,256,3.347474208e-13,3.344933109e-13,2.633460266e-12,3.514305977e-14,1.264731171e-12,1.015098556e-08,1.013244161e-08
5.000000000e-01,16,1.240542432e-08,1.240542408e-08,9.766769722e-08,2.386658148e-09,8.427072799e-08,2.597910696e-06,2.535656170e-06
5.000000000e-01,32,9.235383183e-10,9.235383818e-10,7.271002300e-09,1.473773606e-10,5.232120591e-09,6.494726118e-07,6.415351279e-07
5.000000000e-01,64,6.703012169e-11,6.703010051e-11,5.277268650e-10,9.150961255e-12,3.257936927e-10,1.623708081e-07,1.613673434e-07
5.000000000e-01,128,4.772522438e-12,4.772691845e-12,3.757532341e-11,5.700625364e-13,2.032295548e-11,4.059340167e-08,4.046675935e-08
5.000000000e-01,256,3.347474208e-13,3.344933109e-13,2.633460266e-12,3.514305977e-14,1.264731171e-12,1.015098556e-08,1.013244161e-08
1.500000000e+00,16,6.750686663e-07,6.750686663e-07,1.495446158e-06,4.094919881e-07,1.341405672e-06,8.763688754e-05,8.553742533e-05
1.500000000e+00,32,4.857639508e-08,4.857639508e-08,1.076088808e-07,2.544608782e-08,8.316872792e-08,2.193829580e-05,2.167017961e-05
1.500000000e+00,64,3.432840221e-09,3.432840306e-09,7.604601362e-09,1.584941652e-09,5.174521081e-09,5.486480001e-06,5.452575171e-06
1.500000000e+00,128,2.393093387e-10,2.393093387e-10,5.301304924e-10,9.887644599e-11,3.226313763e-10,1.371742783e-06,1.367478127e-06
1.500000000e+00,256,1.650308172e-11,1.650308172e-11,3.655883428e-11,6.173327104e-12,2.014010203e-11,3.429508597e-07,3.424085307e-07
