# Young-Laplace-Residuum (gamma*kappa - delta_p) * a / gamma, ausgewertet
# ALLEIN aus den Knotenkoordinaten: Tangentenwinkel aus den Sehnen,
# Meridiankruemmung aus deren Drehung.  Teilt keinen Code mit dem Loeser.
variant,Pi,s_m,s_over_arclength,residual
pi-1.98,-1.980000000e+00,0.000000000e+00,0.000000000e+00,-1.361983166e-08
pi-1.98,-1.980000000e+00,3.524642974e-09,4.882812401e-04,-1.765235772e-08
pi-1.98,-1.980000000e+00,7.049285948e-09,9.765624802e-04,-2.018954933e-08
pi-1.98,-1.980000000e+00,1.057392892e-08,1.464843720e-03,-1.958817574e-08
pi-1.98,-1.980000000e+00,1.409857190e-08,1.953124960e-03,-2.027935831e-08
pi-1.98,-1.980000000e+00,1.762321487e-08,2.441406200e-03,-2.031892415e-08
pi-1.98,-1.980000000e+00,2.114785784e-08,2.929687441e-03,-1.965447509e-08
pi-1.98,-1.980000000e+00,2.467250082e-08,3.417968681e-03,-2.045409719e-08
pi-1.98,-1.980000000e+00,2.819714379e-08,3.906249921e-03,-2.000816953e-08
pi-1.98,-1.980000000e+00,3.172178676e-08,4.394531161e-03,-1.997315720e-08
pi-1.98,-1.980000000e+00,3.524642974e-08,4.882812401e-03,-2.004626085e-08
pi-1.98,-1.980000000e+00,3.877107271e-08,5.371093641e-03,-2.023522085e-08
pi-1.98,-1.980000000e+00,4.229571569e-08,5.859374881e-03,-1.983371959e-08
pi-1.98,-1.980000000e+00,4.582035866e-08,6.347656121e-03,-2.021341954e-08
pi-1.98,-1.980000000e+00,4.934500163e-08,6.835937361e-03,-2.036837973e-08
pi-1.98,-1.980000000e+00,5.286964461e-08,7.324218601e-03,-1.992334586e-08
pi-1.98,-1.980000000e+00,5.639428758e-08,7.812499841e-03,-1.989522517e-08
pi-1.98,-1.980000000e+00,5.991893056e-08,8.300781082e-03,-2.030842632e-08
pi-1.98,-1.980000000e+00,6.344357353e-08,8.789062322e-03,-2.012978869e-08
pi-1.98,-1.980000000e+00,6.696821650e-08,9.277343562e-03,-1.967255310e-08
pi-1.98,-1.980000000e+00,7.049285948e-08,9.765624802e-03,-2.066881239e-08
pi-1.98,-1.980000000e+00,7.401750245e-08,1.025390604e-02,-1.969051321e-08
pi-1.98,-1.980000000e+00,7.754214542e-08,1.074218728e-02,-2.012923937e-08
pi-1.98,-1.980000000e+00,8.106678840e-08,1.123046852e-02,-2.030221681e-08
pi-1.98,-1.980000000e+00,8.459143137e-08,1.171874976e-02,-1.984292681e-08
pi-1.98,-1.980000000e+00,8.811607435e-08,1.220703100e-02,-2.011189579e-08
pi-1.98,-1.980000000e+00,9.164071732e-08,1.269531224e-02,-2.043728039e-08
pi-1.98,-1.980000000e+00,9.516536029e-08,1.318359348e-02,-1.977170573e-08
pi-1.98,-1.980000000e+00,9.869000327e-08,1.367187472e-02,-2.015608797e-08
pi-1.98,-1.980000000e+00,1.022146462e-07,1.416015596e-02,-2.023407875e-08
pi-1.98,-1.980000000e+00,1.057392892e-07,1.464843720e-02,-1.964076707e-08
pi-1.98,-1.980000000e+00,1.092639322e-07,1.513671844e-02,-2.042672100e-08
pi-1.98,-1.980000000e+00,1.127885752e-07,1.562499968e-02,-2.020421111e-08
pi-1.98,-1.980000000e+00,1.163132181e-07,1.611328092e-02,-1.997215635e-08
pi-1.98,-1.980000000e+00,1.198378611e-07,1.660156216e-02,-2.006925699e-08
pi-1.98,-1.980000000e+00,1.233625041e-07,1.708984340e-02,-2.015123385e-08
pi-1.98,-1.980000000e+00,1.268871471e-07,1.757812464e-02,-1.986374579e-08
pi-1.98,-1.980000000e+00,1.304117900e-07,1.806640588e-02,-2.022521802e-08
pi-1.98,-1.980000000e+00,1.339364330e-07,1.855468712e-02,-2.020766477e-08
pi-1.98,-1.980000000e+00,1.374610760e-07,1.904296836e-02,-2.013733950e-08
