# Netz- und Kopplungskonvergenz an drei Betriebspunkten.
# Zusaetzlich: Fernrand (geerdete Huelle statt asymptotisch) und ein
# anderer Startwert bzw. eine andere Unterrelaxation.
point,V_emitter_V,variant,level,far_field,relaxation,status,h_over_a,E_edge_far_V_per_m,total_force_N,max_curvature_1_per_m,surface_area_m2,liquid_volume_m3,mech_residual_edge_far,iterations
klein,5.000000000e+02,mesh,1,asymptotic,0.5,Converged,2.041377152e-02,1.400747170e+07,7.674092826e-08,3.936197988e+04,7.857807572e-11,4.303289720e-18,7.426816629e-04,12
klein,5.000000000e+02,mesh,2,asymptotic,0.5,Converged,2.038507835e-02,1.446021081e+07,7.885868928e-08,4.670253926e+04,7.857819628e-11,4.306596596e-18,3.578542635e-04,12
klein,5.000000000e+02,mesh,3,asymptotic,0.5,Converged,2.035403774e-02,1.422914651e+07,8.040351757e-08,5.483534253e+04,7.857818367e-11,4.304107027e-18,2.451899471e-04,12
klein,5.000000000e+02,farfield,2,grounded,0.5,Converged,2.039152644e-02,1.446246806e+07,7.888307408e-08,4.671637666e+04,7.857822042e-11,4.307952681e-18,3.579518182e-04,12
klein,5.000000000e+02,relaxation,2,asymptotic,0.3,Converged,2.038348423e-02,1.446019187e+07,7.885852743e-08,4.670332915e+04,7.857819103e-11,4.306294074e-18,3.578947568e-04,19
mittel,1.000000000e+03,mesh,1,asymptotic,0.5,Converged,9.875256064e-02,3.007141816e+07,3.436403065e-07,1.523749802e+05,7.939647082e-11,2.050341787e-17,8.925558023e-04,20
mittel,1.000000000e+03,mesh,2,asymptotic,0.5,Converged,9.926343800e-02,3.089594611e+07,3.526605608e-07,1.757818835e+05,7.940923371e-11,2.064764727e-17,5.009575110e-04,21
mittel,1.000000000e+03,mesh,3,asymptotic,0.5,Converged,9.957915884e-02,3.060260423e+07,3.590757789e-07,2.032448854e+05,7.941673037e-11,2.073219960e-17,6.305949221e-04,21
mittel,1.000000000e+03,farfield,2,grounded,0.5,Converged,9.930271875e-02,3.090145259e+07,3.527852979e-07,1.758277598e+05,7.940990209e-11,2.065567328e-17,5.009076123e-04,21
mittel,1.000000000e+03,relaxation,2,asymptotic,0.3,Converged,9.926202783e-02,3.089592745e+07,3.526600346e-07,1.757830067e+05,7.940921369e-11,2.064740075e-17,5.009823424e-04,35
gross,1.400000000e+03,mesh,1,asymptotic,0.5,Converged,3.098230345e-01,4.757661524e+07,8.858524324e-07,2.488052258e+05,8.603605776e-11,6.258952517e-17,6.150527223e-04,44
gross,1.400000000e+03,mesh,2,asymptotic,0.5,Converged,3.245960580e-01,4.794566704e+07,9.189569644e-07,2.658935920e+05,8.667571058e-11,6.537396690e-17,8.691448563e-04,48
gross,1.400000000e+03,mesh,3,asymptotic,0.5,Converged,3.358622080e-01,4.816773495e+07,9.424024836e-07,2.824250533e+05,8.716755614e-11,6.745157931e-17,5.333952052e-04,52
gross,1.400000000e+03,farfield,2,grounded,0.5,Converged,3.249018410e-01,4.795630570e+07,9.195575738e-07,2.658665494e+05,8.668951742e-11,6.543304737e-17,8.691148863e-04,49
gross,1.400000000e+03,relaxation,2,asymptotic,0.3,MechanicalResidualNotConverged,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,60
