# Qualitaet des beweglichen Netzes je vorgeschriebener Form und Netzstufe.
# Das Fluessigkeitsvolumen des Netzes wird gegen die geschlossene Form
# (Bohrungssaeule + Rotationsvolumen des Meniskus) geprueft.
shape,Pi,level,n_nodes,min_jacobian,inverted_cells,max_aspect,max_shear,band_z_lo,band_z_hi,contact_r_error,contact_z_error,apex_error,surface_error,V_mesh,V_reference,V_error
pi+0.00,0.000000000e+00,1,25088,5.928344205e-14,0,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.963499335e-08,1.963499335e-08,1.685115136e-15
pi+0.00,0.000000000e+00,2,49775,2.686158860e-14,0,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.963499335e-08,1.963499335e-08,1.011069082e-15
pi+0.00,0.000000000e+00,4,198376,6.465482928e-15,0,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.963499335e-08,1.963499335e-08,3.201718759e-15
pi+0.50,5.000000000e-01,1,25088,5.912409635e-14,0,6.551970720e+00,3.865730311e-01,-8.911995016e-06,8.966706339e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.963499338e-08,1.963499338e-08,4.661196972e-12
pi+0.50,5.000000000e-01,2,49775,2.686158860e-14,0,6.354089108e+00,4.039837833e-01,-8.063636784e-06,7.875686139e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.963499338e-08,1.963499338e-08,2.375169781e-12
pi+0.50,5.000000000e-01,4,198376,6.465482928e-15,0,7.027407677e+00,4.006962144e-01,-8.063220004e-06,8.024374978e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.963499338e-08,1.963499338e-08,5.363721472e-13
pi-0.50,-5.000000000e-01,1,25088,5.895573296e-14,0,6.597933561e+00,3.773897609e-01,-8.911995016e-06,8.966706339e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.963499333e-08,1.963499333e-08,4.666420841e-12
pi-0.50,-5.000000000e-01,2,49775,2.686158860e-14,0,6.319559572e+00,3.909125824e-01,-8.063636784e-06,7.875686139e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.963499333e-08,1.963499333e-08,2.376854903e-12
pi-0.50,-5.000000000e-01,4,198376,6.465482928e-15,0,7.009419645e+00,3.957184966e-01,-8.063220004e-06,8.024374978e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.963499333e-08,1.963499333e-08,5.338444758e-13
pi+1.50,1.500000000e+00,1,25088,5.805617683e-14,0,6.551702378e+00,1.468900361e+00,-8.911995016e-06,8.966706339e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.535699775e-15,1.963499345e-08,1.963499345e-08,1.989261558e-11
pi+1.50,1.500000000e+00,2,49775,2.686158860e-14,0,6.354089108e+00,1.564952683e+00,-8.063636784e-06,7.875686139e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.535699775e-15,1.963499345e-08,1.963499345e-08,1.017809537e-11
pi+1.50,1.500000000e+00,4,198376,6.457846384e-15,0,7.027407677e+00,1.559880405e+00,-8.063220004e-06,8.024374978e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.535699775e-15,1.963499345e-08,1.963499345e-08,2.372979123e-12
pi-1.50,-1.500000000e+00,1,25088,5.788428077e-14,0,6.481041462e+00,1.434915821e+00,-8.911995016e-06,8.966706339e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.535699775e-15,1.963499326e-08,1.963499326e-08,1.989750260e-11
pi-1.50,-1.500000000e+00,2,49775,2.686158860e-14,0,6.205458185e+00,1.509524842e+00,-8.063636784e-06,7.875686139e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.535699775e-15,1.963499326e-08,1.963499326e-08,1.017876952e-11
pi-1.50,-1.500000000e+00,4,198376,6.465482928e-15,0,6.962385003e+00,1.539278943e+00,-8.063220004e-06,8.024374978e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.535699775e-15,1.963499326e-08,1.963499326e-08,2.370957008e-12
pi+1.90,1.900000000e+00,1,25088,5.620768665e-14,0,6.551702378e+00,2.592256551e+00,-8.911995016e-06,8.966706339e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.630114265e-15,1.963499352e-08,1.963499352e-08,4.380995996e-11
pi+1.90,1.900000000e+00,2,49775,2.686158860e-14,0,6.354089108e+00,2.745155522e+00,-8.063636784e-06,7.875686139e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.630114265e-15,1.963499352e-08,1.963499352e-08,2.240647024e-11
pi+1.90,1.900000000e+00,4,198376,6.369605057e-15,0,7.027407677e+00,2.816269783e+00,-8.063220004e-06,8.024374978e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.630114265e-15,1.963499352e-08,1.963499352e-08,5.228406689e-12
