name,value_SI,unit,role
contact_radius,5.000000000e-06,m,gepinnter Kontaktradius a = phi_2/2
surface_tension,4.520000000e-02,N/m,gamma
capillary_pressure_scale,9.040000000e+03,Pa,gamma/a
V_probe,1.500000000e+03,V,Spannung der vorgeschriebenen Formen
V_max,4.000000000e+03,V,Obergrenze der Fortsetzung
reference_level,2,-,Netzstufe der Kopplung
band_factor,1.500000000e+00,-,halbe Hoehe des Verformungsbandes in a
r_aperture,2.000000000e-04,m,Aperturradius
extraction_distance,5.000000000e-04,m,Extraktionsstrecke
r_land,1.000000000e-05,m,Aussenradius der Stirnflaeche
