# Im Perfect-Conductor-Modell haengt p_M = eps0 E_n^2/2 nicht von der
# Polaritaet ab, also muessen beide Polaritaeten dieselbe Form liefern.
# Das ist ein MODELLTEST und ausdruecklich keine Aussage ueber die reale
# polare Emission, die in P3b gar nicht modelliert ist.
abs_V,h_positive_m,h_negative_m,dh_over_a
0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
2.500000000e+02,2.449102958e-08,2.449102958e-08,0.000000000e+00
5.000000000e+02,1.019264135e-07,1.019264135e-07,0.000000000e+00
7.500000000e+02,2.467536035e-07,2.467536035e-07,0.000000000e+00
1.000000000e+03,4.963150813e-07,4.963150813e-07,0.000000000e+00
1.125000000e+03,6.895182619e-07,6.895182619e-07,0.000000000e+00
1.312500000e+03,1.174334481e-06,1.174334481e-06,0.000000000e+00
1.375000000e+03,1.462400268e-06,1.462400268e-06,0.000000000e+00
1.421875000e+03,1.805166558e-06,1.805166558e-06,0.000000000e+00
1.439453125e+03,2.003524793e-06,2.003524793e-06,0.000000000e+00
