# Volumenladung, Potential mit und ohne Ladung, und die Differenz.
# Die Ladungsdichte ist die deponierte Knotenladung geteilt durch das
# zugehoerige Knotenvolumen -- eine ABGELEITETE Groesse zur Anzeige,
# nicht die Groesse, mit der gerechnet wurde (das ist die Knotenladung).
r_m,z_m,node_charge_C,phi_V,phi_no_charge_V,dphi_V,Er_V_per_m,Ez_V_per_m,dEr_V_per_m,dEz_V_per_m
0.000000000e+00,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,8.045027016e+01,-1.297634965e+05,7.702460801e+01,-1.233661323e+05
3.333333333e-07,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.607840293e+02,-1.296629919e+05,1.539354556e+02,-1.232699084e+05
6.666666667e-07,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.609589974e+02,-1.294755656e+05,2.498375115e+02,-1.230904685e+05
1.000000000e-06,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.740114463e+02,-1.291707886e+05,3.580586813e+02,-1.227986869e+05
1.333333333e-06,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.896313514e+02,-1.287477861e+05,4.687232234e+02,-1.223937386e+05
1.666666667e-06,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,6.055558171e+02,-1.282069577e+05,5.796599829e+02,-1.218760231e+05
2.000000000e-06,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,7.208675854e+02,-1.275492310e+05,6.899863312e+02,-1.212464502e+05
2.333333333e-06,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,8.350389230e+02,-1.267758843e+05,7.991928176e+02,-1.205062697e+05
2.666666667e-06,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.476935169e+02,-1.258884825e+05,9.069152492e+02,-1.196570097e+05
3.000000000e-06,-4.000000000e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.058527838e+03,-1.248888452e+05,1.012859443e+03,-1.187004462e+05
